n,network_type,logic_type,mean_slope,std_slope,mean_convergence_time,std_convergence_time,mean_final_disagreement,std_final_disagreement,mean_topic1_disagreement,mean_topic2_disagreement,mean_topic3_disagreement,convergence_rate,actual_repeats,repeat_stop_reason,slope_ci_half_width,slope_ci_target,mean_slope_from_mean_distance,mean_intercept_from_mean_distance
4,cycle_baseline,cascade,-0.3623693266345859,0.02114295716387573,49.0,2.788866755113585,1.1697908717345773e-08,2.9579887103372704e-09,7.681512938089398e-09,7.681512938028913e-09,7.681512935230235e-09,1.0,10,ci_stable,0.013104540617407352,0.036236932663458586,-0.35098954521227577,-0.11881245623050643
4,cycle_baseline,heterogeneous_cascade,-0.35204122409289373,0.03011612442515313,49.4,4.835057163858331,1.2718632852179483e-08,5.211112014290288e-09,8.650999791213483e-09,8.650999781225932e-09,8.64401407201481e-09,1.0,10,ci_stable,0.01866616730618055,0.03520412240928938,-0.30718196764878275,-0.8843207415413785
4,cycle_baseline,independent,-0.370432175966873,0.022904199142577495,48.9,2.4698178070456938,1.0580176999409652e-08,2.615771971338288e-09,5.427500755058213e-09,7.831982509773767e-09,4.694754644190448e-09,1.0,10,ci_stable,0.014196169705433633,0.03704321759668731,-0.3608474691425364,-0.06331165875352347
4,random_strong,cascade,-0.44031269714095067,0.0985590054526818,42.32,8.576712656956627,1.0307596901792448e-08,1.1699234343486458e-08,6.8461005189874664e-09,6.846100516460291e-09,6.846100503198583e-09,1.0,25,ci_stable,0.03863513013745127,0.04403126971409507,-0.25148811508614427,-2.9680504476132787
4,random_strong,heterogeneous_cascade,-0.4373583647332978,0.08169856838334676,42.266666666666666,7.3530039213009175,6.837631975310188e-09,4.273198265535327e-09,4.5091142596795485e-09,4.509110223014459e-09,4.834173955598301e-09,1.0,15,ci_stable,0.041345180115004806,0.0437358364733298,-0.3483320396400079,-0.7783615313112583
4,random_strong,independent,-0.5153439117159572,0.1892560374974527,39.63333333333333,9.654312359067152,8.436106432499694e-09,6.584188295967854e-09,5.538433848908003e-09,4.6548313683339464e-09,4.609140247933346e-09,1.0,30,max_repeats_reached,0.06772440324251364,0.05153439117159571,-0.3611970359289168,-0.859857231292871
4,scale_free,cascade,-0.5203638254747179,0.022459047915954464,32.7,2.162817093001111,3.9456799856538504e-13,7.03304003890634e-13,2.561785688341871e-13,2.561813498745833e-13,2.561781595524579e-13,1.0,10,ci_stable,0.013920262116681707,0.05203638254747178,-0.5107486017240825,-1.4739673251980279
4,scale_free,heterogeneous_cascade,-0.5143265616640694,0.063501966919089,34.5,2.5055493963954847,1.0039670771818556e-09,4.793961488953356e-10,8.239607438645191e-11,8.244811976062732e-11,1.1302845446371798e-09,1.0,10,ci_stable,0.039358926867537364,0.051432656166406944,-0.4882035612843362,-1.214718264041136
4,scale_free,independent,-1.1578966012754282,0.3686520228636617,21.033333333333335,5.555260528564784,6.956802666966637e-10,1.6433157963643145e-09,4.6464326945072876e-10,2.985950380169413e-10,4.689336599867291e-10,1.0,30,max_repeats_reached,0.13192043214432733,0.11578966012754284,-0.4899458723013187,-2.9474013801308643
4,small_world,cascade,-0.5398801290464204,0.07728373718719578,32.1,3.0349812373573433,3.9080671409195885e-17,2.7402845028922844e-17,3.163192453368304e-17,2.217491282904698e-17,2.3893136251354564e-17,1.0,10,ci_stable,0.04790095657787311,0.05398801290464205,-0.5111768394684991,-1.6244121738913475
